16,361836,343608,345821,330247,330770,315937,335452,321973,363635,348397,377001,362689,375209,361379,368738,354090,368642,353452,372243,354234,391401,369753,391159,369201,397924,375589,408057,385993,402980,382238,407664,383399,415272,389269,407306,385560,394793,373840,307164,291513,394082,373732,396729,372553,395915,376537,387370,368357,385048,365519,376563,356064,367571,350232,360771,341812
17,373556,355981,359114,343827,344844,330475,330088,316444,334665,322489,363457,348673,377033,363145,375207,361624,369382,354535,368023,352414,376072,356562,395200,370557,395413,371777,401264,378834,411404,389640,407247,383387,410888,385553,417746,391810,410411,388513,307201,294219,408483,387003,396082,375073,398709,373850,399245,378976,391202,371239,389347,368440,380102,358442,371195,353628
18,399529,380345,370105,355955,355673,343876,340735,330595,325317,315918,328816,321084,356389,346538,369144,359950,367957,358817,360375,348100,365749,350635,381469,357421,401021,374146,400574,377244,404749,384988,417378,391646,411882,387773,414165,390904,422245,397795,314713,306492,409760,393550,410866,389996,398061,377565,402795,377544,403985,383393,396213,375458,393380,372465,384777,362219
19,423364,404702,395860,383467,366197,360334,350527,349356,336157,337560,319054,322890,322006,327446,348096,351381,361435,364809,360922,360479,358334,353168,373511,352730,390154,364076,408558,383267,406812,388622,415564,390265,425996,400906,417779,398566,421506,401850,323126,309374,424096,415610,414805,399774,415588,395608,405080,384616,410770,385641,412473,391104,402671,381588,401688,380427
20,437341,429090,422297,406677,398187,383755,370417,360171,357244,348904,344779,337058,330487,323954,335561,330342,359060,351207,373039,367254,372422,369210,361172,357309,376393,357705,397125,370253,415310,392129,413040,398209,423590,397406,430697,408377,421507,403304,317465,303659,442154,423891,428641,420663,419446,404805,423195,402988,414063,393000,420121,393674,419047,397554,411122,388931
21,435884,425206,436625,430247,421664,408734,396888,386045,370378,362953,357141,351006,345410,339619,331749,327977,336043,333160,357911,353921,373962,371302,375631,373780,364389,362961,384958,364870,405825,381239,423085,403671,423278,406792,429697,406359,435282,414262,312375,306892,436928,418453,446454,429036,433015,424883,426003,409918,431038,409522,422155,398448,425542,397973,426309,402450
22,449859,443403,434746,426705,435997,431416,420685,411441,397135,389154,370552,365758,357333,353664,346406,343298,333747,333080,337538,337549,360497,359311,377363,376600,379051,380198,374385,371491,395259,377902,414943,394766,434917,413557,430303,416949,435198,412921,317950,317990,431718,423010,442113,424725,450644,434604,439199,431518,433886,418170,439167,415997,426923,404109,432658,405362
23,453097,448646,447971,444505,433134,428099,434055,433370,420490,414749,396725,391899,370328,368381,357377,356112,348844,348204,336437,338841,342664,344549,363861,363693,380818,382098,389581,387916,385036,382484,404835,389651,427367,403496,442400,422224,435600,422417,310236,318099,436069,434139,436112,428938,446087,430208,456303,440820,446514,439399,441826,424931,443367,421120,433554,411037
24,465385,460272,451252,449304,445879,445085,431024,429848,433373,435033,419717,416930,396120,394059,369705,370857,359755,360927,351659,352670,342932,345834,346237,349047,367351,369208,391193,389691,399901,398505,394247,393693,416868,398076,434469,411829,447887,427683,322944,323898,423165,429936,438518,437730,438115,432384,449819,434310,462222,446869,453162,444270,443583,428016,447422,425730
25,465881,468960,464089,460985,449701,450053,444350,446595,431661,431804,434141,436614,419549,419340,396635,396893,373304,376146,365353,367986,357728,357457,348157,348221,350501,352911,371862,374838,398870,398076,406411,402783,402527,399430,424198,400019,436583,414575,326124,328083,433531,430890,425693,432413,440777,440297,441942,435672,455341,439199,468437,450772,455416,447038,447101,431409
26,476401,478825,464684,469079,462885,461823,448888,451954,445556,448310,432331,433515,433846,438431,419568,422460,399561,401765,378190,382736,371059,372225,362801,359736,352420,351926,354798,358152,379000,382922,404825,402022,413841,407993,409294,401222,425985,402435,318750,323259,435689,434445,434997,433097,428079,434845,444300,443412,446764,440630,460896,443360,469675,453523,457870,450115
27,475334,477660,474236,478006,463608,469318,462403,463889,450180,453782,445866,449758,432156,435513,434155,440597,422494,427116,404296,407703,383943,386876,376066,374271,366734,363052,356376,356734,361378,365122,384591,386157,411811,406841,420239,409510,411062,403189,321024,323259,425126,427294,437079,436159,437077,435303,430844,437881,448965,448203,452199,444416,461853,445869,470965,456180
28,465058,469120,472213,476393,472011,477139,462953,470392,463689,464997,451212,455336,445436,451084,432021,437489,436513,443757,426637,433061,408892,411372,388681,388914,380047,377421,370653,367391,362855,363057,366836,368347,391352,390507,418083,408160,421947,411643,321238,327923,428262,433973,425550,428939,438543,437827,439341,437818,434633,442025,453723,451898,452862,446877,462696,447914
29,454073,458941,462933,468276,470059,475373,471193,477733,463966,470939,464142,466349,451270,456932,445603,452686,434274,440390,440461,447755,430349,436402,413315,413139,392244,391733,383512,381381,376386,372955,367694,365775,372798,371963,397000,391651,419933,410132,330708,329660,428925,436106,428918,435282,427226,430737,440786,440427,443500,441974,439588,445359,454662,454213,454070,448855
30,449767,447437,451927,457446,460892,467244,468430,475552,471350,477510,464778,471625,464199,467840,450912,458331,447247,455427,437589,444453,443537,450331,430182,437968,413334,414834,392743,392387,385790,385423,377903,376462,368586,365832,376755,374731,401180,392138,331716,334975,434468,439051,428618,437079,430041,436631,428785,432652,443494,443595,447143,444522,439422,446946,455376,455763
31,429763,428919,447092,446813,450223,456763,459782,467856,468178,475201,471216,477627,464665,472447,464235,468855,452642,460367,450337,458180,440875,446446,443353,451773,430050,439505,413629,415375,394481,395755,386827,388343,378413,376350,371683,368008,380001,375236,320096,320832,436318,439370,434272,439897,429646,438111,431942,437706,431902,434663,446994,445011,447252,445741,439884,448522
32,415327,421525,427861,428634,444671,446177,448943,457363,459478,467653,468093,475385,470759,478050,464430,472924,465348,470525,454765,463037,452445,460007,440882,447730,443424,453340,430401,440034,415282,418565,395372,398404,387199,388171,381213,378508,374547,368056,299360,300233,420578,420458,435420,440236,434707,440844,430806,439177,434309,439796,434760,436330,446958,446280,448165,447555
33,406351,413297,415059,421315,426601,428378,443263,446740,449022,456966,459603,467757,467413,475491,470351,478174,465359,473973,467598,472736,457003,464604,452299,461165,440828,449068,443605,453795,431706,442569,415977,420597,395725,398113,389769,389691,383693,378625,295397,295547,392479,392630,419307,420837,435306,440949,435563,441830,432286,441050,436208,441075,434081,437931,447012,447937
34,393984,401096,406403,413325,414236,420921,425428,428993,442191,446250,448721,456830,458574,467812,466020,475295,470301,478592,467262,475680,469372,474075,456731,465603,452268,462291,440944,449493,444713,456030,432154,444476,415997,420338,397847,399595,392172,390124,298954,303753,387494,386014,391579,392638,419275,421492,436148,441771,437099,443329,434159,441961,435539,442134,433650,439493
35,386069,386580,393775,400665,406198,412936,413798,421051,424544,428011,440699,445538,447421,456272,457506,467367,465775,475486,470495,479312,467808,476112,469768,474989,458526,465173,452733,463726,443786,450220,445442,456866,434142,445382,416085,420912,397228,400814,305546,309862,393012,395571,386492,385975,391241,393045,419462,422429,437332,443039,438530,444148,433725,442923,435220,443562
36,374026,375151,385374,386910,393584,400743,406188,413850,413719,420710,423845,427973,439319,445657,446403,456247,457456,468165,465539,476509,470628,479621,468285,476965,471431,474706,458857,466403,455128,464324,444281,450964,447107,457400,434096,445664,415492,421936,310169,316642,400161,403845,392220,395704,386384,386510,391352,394056,420414,424046,438648,444196,438593,445370,433790,444015
37,379092,380883,373436,375760,384515,387003,393513,401359,406284,413429,413508,420317,422888,427677,438087,445162,446446,456245,457582,468446,465586,475977,470947,480404,469724,476736,471702,475903,461170,466978,455487,464882,445793,451498,446983,457684,433446,446707,323925,330459,406697,411842,399472,403708,391879,395933,386382,387381,392107,395566,421655,425202,438264,445046,438225,446006
38,376454,378976,378216,380855,372877,376121,383932,387726,393820,400997,406514,413499,413061,420078,422098,427571,437787,445314,446374,456710,457702,468409,465907,476697,472320,480084,469876,477799,473605,476248,461367,467544,456586,465384,445614,451888,446344,458642,337765,345514,425323,430362,405867,411951,399591,404075,392113,396783,387285,388680,393382,396362,421986,425676,438053,445383
39,368308,372810,376128,378996,377778,381052,372815,377077,383953,387629,393979,401199,406590,413691,412998,420085,422473,427922,437535,446024,446564,456727,457795,468912,467193,476382,472167,480916,471556,478000,473650,476715,462273,467944,456368,465352,444686,452674,348559,358382,443860,449741,424616,430330,405993,412159,399502,404722,392441,398028,387930,389484,393600,397019,422038,425942
40,378560,378911,367994,372850,375079,378466,377289,381395,373039,377065,383626,387668,394035,401027,406596,413468,413122,419872,421621,428401,435849,445078,447799,457109,457050,469047,465406,476644,473177,481089,470084,477547,473025,477694,461495,466448,456936,465715,341214,349613,455459,468191,442685,449826,424786,430588,405707,412857,399874,406065,392911,399287,387755,390350,393518,397469
41,388135,390835,377789,378808,367708,372881,374715,378501,377044,381109,373043,377202,383193,387636,393931,400866,407261,413747,413353,420421,421299,427852,436741,445257,446836,457115,455157,469187,466039,476795,471651,480473,469261,478452,471940,476151,461924,466727,349561,358807,445586,456966,454295,468105,442618,449873,424496,430848,405771,413492,399936,406885,392788,399742,387736,390564
42,401857,403787,387093,390559,376701,378491,367509,373053,374366,378026,376938,380942,372874,377190,382779,387549,394405,401067,407677,414387,413211,419859,422078,427881,436091,445146,445181,457122,455579,469191,464529,476116,470664,481183,468285,476994,472041,476304,350201,358618,456783,469434,444650,457121,454204,468257,442518,450316,425003,431616,406621,414861,400292,407625,393134,400468
43,428232,431339,400926,403461,386367,390173,375807,378290,367533,372868,373848,377658,376430,380780,372683,377261,382864,387747,395186,401531,407860,413931,413788,419836,421208,427765,434326,445110,445238,456997,454028,468550,463534,476657,469518,479773,468178,477021,356335,363099,457484,469357,455623,469260,444442,456953,454049,468327,443067,450901,425495,432517,406866,415180,400211,407912
44,468755,468801,427482,431389,400048,402880,385759,390103,375337,377776,367500,372820,373463,377441,375776,380681,372835,377886,382818,388438,395179,401118,408273,413768,412993,419649,419458,427574,434446,444975,443699,456210,453073,468937,462401,475306,469460,479709,353331,365083,466094,474193,456408,469322,455394,469191,444432,456926,454825,468750,443921,451631,425931,432838,407039,415341
45,366479,366795,465708,466280,426536,430683,398978,402264,384786,389232,374100,377155,366915,372481,372499,376671,375307,380599,372277,378432,382203,387623,392166,399983,407590,413352,412454,418720,418392,427104,433894,444285,440827,455852,452038,468700,461959,474868,355863,367549,463686,476570,465075,474145,455954,469370,455343,469288,444995,457361,455248,469455,443892,451901,425447,433399
46,360957,361936,366379,366888,463000,464582,425863,430413,398169,401454,383709,388744,372794,376668,366387,372178,371858,376543,374451,380760,371993,377732,379224,386598,391469,399443,406992,412443,411330,418257,417695,426433,431117,443902,439671,455484,451455,468234,353218,363943,468213,480677,462711,476341,464383,474091,455793,469488,455570,469734,445377,458020,455056,469694,443536,452204
47,364634,363957,360300,361797,365872,367078,460897,462403,425068,429480,397023,400718,382554,387892,371672,375909,366124,372013,370898,376554,373881,379912,369027,376752,378275,386011,390680,398524,405789,411838,410564,417476,415065,425988,429966,443491,439082,454974,345561,356046,464223,476378,467094,480379,462066,476313,464096,474146,456082,469923,455765,470035,445052,458143,454593,470036
48,346692,346743,362858,362797,359507,361635,365324,367287,458626,460339,424111,428901,395747,399928,381325,387202,370629,375407,365514,372125,369972,375515,371052,378760,368083,376077,377486,385004,389408,397896,404940,410990,407886,416857,413806,425608,429257,442880,339064,347302,456079,466410,463093,476069,466255,480288,461581,476492,464148,474510,456227,470060,455389,470036,444402,458544
49,317691,317667,345535,346190,361240,361766,358749,361563,364581,366996,456130,458644,422831,428205,394528,399090,380427,386669,369338,375099,364913,371385,367101,374330,369902,378004,367093,375063,376177,384235,388359,396925,402314,410369,406619,416350,412940,424969,329012,335227,447778,455551,454825,465927,462096,475837,465883,480500,461581,476841,464338,474622,455680,470088,455038,470201
50,293191,294363,315825,316796,344115,345402,359269,360599,358013,360933,363945,366864,453136,456685,421561,427365,393111,398235,379263,386342,367198,374040,363590,370791,365491,372652,367802,376535,366223,373791,374380,383074,386897,395621,401713,409626,405551,415422,315976,322573,433173,440842,446615,454930,453909,465461,461548,475816,465548,480584,461476,476699,463755,474415,455264,470090
51,309981,311059,292447,294360,314135,316028,342713,344854,357646,359343,357148,360433,362955,366451,450251,454843,420342,426429,391939,397825,377423,385272,365704,373372,361946,369171,363237,371117,366804,375241,364298,372707,372784,381666,386251,394767,400598,408719,309388,315490,416388,423843,432047,440096,445463,454378,453143,465278,461048,475891,465066,480428,460454,476529,463020,474274
52,312193,314982,308408,310429,291306,294183,312408,315034,341355,343784,355811,358028,355915,359781,361928,366091,447711,452710,419355,425918,390023,396588,375761,384471,363910,371582,359611,367569,362068,369642,364701,373985,362667,371278,372038,380840,384965,393700,303351,308371,407779,415362,414983,423069,430843,439386,444761,454044,452399,464911,460647,475422,464152,479928,459687,476094
53,310516,312337,310447,314022,306646,309453,290088,293646,310622,313963,339724,342834,353691,356718,354498,358948,360819,365490,444902,451241,417394,424613,388135,395595,373649,382646,361485,369882,358368,366176,359901,368316,362919,372418,361841,370329,370760,379772,291880,298338,399278,406193,406516,414496,413939,422128,430035,438924,443862,453646,451688,464570,459685,474813,463433,479358
54,304647,306360,308946,311541,308697,313038,305001,308748,288973,293575,308603,312708,337880,341739,351273,354867,353438,358469,360058,365913,441218,447574,415266,423443,385891,393558,370888,380815,360025,368294,356011,364829,357913,366629,361870,371407,360369,369197,281821,288170,384708,392445,397722,405347,405155,413566,412999,421518,429088,438360,442875,453110,450443,463942,458773,474242
55,298874,302545,302764,305444,307094,310397,306793,311936,303026,307551,287486,292980,306487,311505,335916,340584,349162,353466,351974,357737,358647,364965,437910,446113,411904,420704,383360,391691,369000,378878,357589,366949,353273,363819,355163,364362,359978,370594,272393,278919,372187,378976,383248,391517,396172,404505,403867,412982,411759,420874,427953,437643,441365,452264,449077,463241
56,293042,295963,296489,301425,300466,304497,304848,309202,304603,310596,300919,306622,285558,292621,304138,310094,333842,339442,346529,351658,349958,356873,355566,363601,433904,443051,408939,418458,380899,389536,366152,377345,354519,365811,350368,361519,352967,363409,273468,281483,358149,366310,370446,377901,381658,390486,394776,403730,402345,412272,410189,420237,426138,436861,439605,451605
57,283415,288134,290416,294369,293949,299870,298059,302990,302363,307569,302186,309193,298567,305218,283549,291406,301846,308737,331432,338098,344013,349953,346784,355455,352142,361043,430486,440604,406202,416095,377967,387865,363135,375932,351478,363397,348178,360494,272015,278412,359232,368363,356445,365141,368622,376725,380163,389644,393423,403022,400779,411466,408371,419428,424184,436233
58,281244,289062,280575,286558,287602,292567,291240,298238,295583,301298,300025,305971,299631,307430,296055,303720,281775,290349,299074,307241,328919,336397,340621,348480,343215,352871,349118,358945,427240,438003,403015,414133,374599,386279,359913,373549,348989,362137,264666,272949,355330,363886,356844,367178,354218,364023,366639,375842,378415,388841,391588,402231,398519,410632,405958,418441
59,288276,296688,278462,287311,277497,284699,284527,290797,288443,296493,293031,299602,297466,304239,296884,305728,293507,302133,279767,289028,296298,305482,325366,334780,337002,345578,340034,350546,346163,356603,423524,435676,399272,412332,371029,383515,357224,372076,267373,276125,344537,355428,352851,362635,354248,366038,352170,363106,364674,375037,376664,387935,389425,401310,395941,409535
60,289653,304425,284362,294760,274987,285582,274204,283040,281257,289077,285249,294692,290008,297941,294391,302346,293949,303959,290625,300895,277035,287713,293068,303771,321663,332937,333265,343358,336177,347833,342130,354091,417364,432652,395905,410264,367940,381515,272872,283780,347508,358822,341873,353922,350160,361276,351854,364916,350167,362126,362766,374008,374305,386729,386958,400174
61,283429,304990,285267,301964,280195,292650,271811,283934,270786,281294,277967,287296,281931,292657,286998,296324,291531,300591,290827,302433,287483,298830,273978,285963,289442,302053,317754,330773,329145,340257,331940,345176,336678,351297,413424,430053,392505,407962,281318,291291,353665,367560,344488,357263,339038,352401,347741,360027,349645,363721,347996,360968,360255,372630,371615,385286
62,276067,298348,278619,301968,280465,299097,275778,290148,267821,281734,266845,279098,274192,285011,278218,290413,283501,294257,288115,298719,287132,299852,283876,296848,270393,284085,285585,299854,313595,327816,324819,337450,326510,342302,333029,349184,409354,427319,298588,309536,363730,376850,350518,365915,341371,355692,336360,351197,345319,358762,347226,362507,345335,359671,357493,370916
