2I,482,34,1872981,1910545
2I,482,35,1839165,1880091
2I,482,36,1368448,1419913
2I,482,37,1412493,1466247
2I,482,38,1401711,1455904
2I,482,39,1508542,1551706
2I,482,40,1333993,1387367
2I,482,41,1211046,1259444
2I,482,42,1171679,1217258
2I,482,43,1174647,1228401
2I,482,44,1160848,1209965
2I,482,45,1082402,1133379
2I,482,46,1095964,1156516
2I,482,47,1125409,1185857
2I,482,48,995726,1043885
2I,482,49,1065931,1125430
2I,482,50,1081711,1168340
2I,482,51,1087108,1167429
2I,482,52,1101192,1168503
2I,482,53,1111052,1193965
2I,482,54,1151021,1250929
2I,482,55,1082837,1207672
2I,482,56,1076390,1201678
2I,482,57,1129929,1264864
2I,482,58,1060078,1196753
2I,482,59,1044515,1191912
2I,482,60,1090736,1241455
2I,482,61,1025855,1165010
2I,482,62,937035,1082813
2I,482,63,916555,1063145
2I,482,64,932842,1096341
2I,482,65,873125,1055727
2I,482,66,823792,1003036
2I,482,67,803243,1002555
2I,482,68,758381,963880
2I,482,69,729346,955908
2I,482,70,681542,901952
2I,482,71,639843,865710
2I,482,72,598220,826057
2I,482,73,546405,776645
2I,482,74,515594,755586
2I,482,75,473135,708494
2I,482,76,428042,664952
2I,482,77,387378,624416
2I,482,78,347994,578453
2I,482,79,313717,535101
2I,482,80,272807,485415
2I,482,81,235638,438603
2I,482,82,207241,391840
2I,482,83,186732,365802
2I,482,84,163950,335175
2I,482,85,709800,1698330
2I,483,0,1869887,1785692
2I,483,1,1794550,1711456
2I,483,2,1781761,1702666
2I,483,3,1764274,1689767
2I,483,4,1714956,1638193
2I,483,5,1694056,1618218
2I,483,6,1647256,1571972
2I,483,7,1635424,1558542
2I,483,8,1594177,1515720
2I,483,9,1628335,1553988
2I,483,10,1707856,1627819
2I,483,11,1802527,1723112
2I,483,12,1934648,1846708
2I,483,13,1889031,1808211
2I,483,14,1851790,1769693
2I,483,15,1838343,1760478
2I,483,16,1890723,1814264
2I,483,17,1967777,1872693
2I,483,18,2044209,1983774
2I,483,19,2182949,2141253
2I,483,20,2182898,2152297
2I,483,21,2183948,2155043
2I,483,22,2170278,2148250
2I,483,23,2153695,2142931
2I,483,24,2181099,2170883
2I,483,25,2197979,2190579
2I,483,26,2137408,2134938
2I,483,27,2105052,2115691
2I,483,28,1979926,1992386
2I,483,29,2081284,2093219
2I,483,30,2010082,2032979
2I,483,31,1921512,1952555
2I,483,32,1834592,1870819
2I,483,33,1793212,1840251
2I,483,34,1836182,1870775
2I,483,35,1843535,1891968
2I,483,36,1805154,1855889
2I,483,37,1374277,1428994
2I,483,38,1365738,1418110
2I,483,39,1490715,1536927
2I,483,40,1498944,1550827
2I,483,41,1288607,1340034
2I,483,42,1216642,1263466
2I,483,43,1172530,1225242
2I,483,44,1193540,1241766
2I,483,45,1138865,1188988
2I,483,46,1089897,1145489
2I,483,47,1107355,1168731
2I,483,48,1063991,1115028
2I,483,49,1048136,1098062
2I,483,50,1051689,1129929
2I,483,51,1051407,1126704
2I,483,52,1080818,1164913
2I,483,53,1110084,1173924
2I,483,54,1114909,1212124
2I,483,55,1111878,1220329
2I,483,56,1074019,1198983
