age,country-sex,survival
42,UK-Females,0.984301
42,US-Males,0.95175
42,US-Females,0.97366
42,China-Males,0.985194058
42,China-Females,0.992741606
43,UK-Males,0.972028
43,UK-Females,0.983242
43,US-Males,0.94936
43,US-Females,0.97213
43,China-Males,0.984168471
43,China-Females,0.992251192
44,UK-Males,0.970097
44,UK-Females,0.982117
44,US-Males,0.94681
44,US-Females,0.97047
44,China-Males,0.983048488
44,China-Females,0.991715376
45,UK-Males,0.968063
45,UK-Females,0.980847
45,US-Males,0.94409
45,US-Females,0.96867
45,China-Males,0.981824592
45,China-Females,0.991131256
46,UK-Males,0.965931
46,UK-Females,0.979433
46,US-Males,0.94117
46,US-Females,0.96674
46,China-Males,0.980485383
46,China-Females,0.990496932
47,UK-Males,0.963642
47,UK-Females,0.977937
47,US-Males,0.93803
47,US-Females,0.96464
47,China-Males,0.979018577
47,China-Females,0.989810517
48,UK-Males,0.961
48,UK-Females,0.976318
48,US-Males,0.93459
48,US-Females,0.96234
48,China-Males,0.977412008
48,China-Females,0.989068159
49,UK-Males,0.958312
49,UK-Females,0.974584
49,US-Males,0.93079
49,US-Females,0.9598
49,China-Males,0.975654621
49,China-Females,0.988266025
50,UK-Males,0.955334
50,UK-Females,0.972714
50,US-Males,0.92657
50,US-Females,0.957
50,China-Males,0.973735508
50,China-Females,0.987399316
51,UK-Males,0.952084
51,UK-Females,0.97063
51,US-Males,0.92191
51,US-Females,0.95394
51,China-Males,0.971643924
51,China-Females,0.986461287
52,UK-Males,0.948751
52,UK-Females,0.96835
52,US-Males,0.91683
52,US-Females,0.95062
52,China-Males,0.969370278
52,China-Females,0.985444245
53,UK-Males,0.945133
53,UK-Females,0.965856
53,US-Males,0.91131
53,US-Females,0.94702
53,China-Males,0.9669042
53,China-Females,0.984340547
54,UK-Males,0.941383
54,UK-Females,0.963145
54,US-Males,0.90531
54,US-Females,0.94314
54,China-Males,0.964236511
54,China-Females,0.983140636
55,UK-Males,0.937234
55,UK-Females,0.960241
55,US-Males,0.89881
55,US-Females,0.93895
55,China-Males,0.961358265
55,China-Females,0.981834042
56,UK-Males,0.93262
56,UK-Females,0.957082
56,US-Males,0.8918
56,US-Females,0.93443
56,China-Males,0.95826173
56,China-Females,0.980410383
57,UK-Males,0.927521
57,UK-Females,0.953626
57,US-Males,0.88427
57,US-Females,0.92958
57,China-Males,0.95493752
57,China-Females,0.978856433
58,UK-Males,0.922078
58,UK-Females,0.949945
58,US-Males,0.87621
58,US-Females,0.92441
58,China-Males,0.951374648
58,China-Females,0.977157138
59,UK-Males,0.916203
59,UK-Females,0.945929
59,US-Males,0.8676
59,US-Females,0.91893
59,China-Males,0.94755583
59,China-Females,0.975295653
60,UK-Males,0.909761
60,UK-Females,0.941422
60,US-Males,0.85842
60,US-Females,0.91312
60,China-Males,0.943459547
60,China-Females,0.973250458
61,UK-Males,0.902524
61,UK-Females,0.936559
61,US-Males,0.84862
