50,2668378,1303278,1365100
51,2415832,1177069,1238763
52,2319662,1127960,1191702
53,2330043,1129786,1200257
54,2306402,1117344,1189058
55,2138243,1029853,1108390
56,2159997,1036475,1123522
57,2193570,1052401,1141169
58,1925990,921222,1004768
59,2057697,980487,1077210
60,2076899,975534,1101365
61,2086923,982684,1104239
62,2088797,986408,1102389
63,2098602,981569,1117033
64,2179561,1009264,1170297
65,2073787,942600,1131187
66,2024844,914840,1110004
67,2047178,920853,1126325
68,1932053,861099,1070954
69,1905327,838358,1066969
70,1924149,844664,1079485
71,1805897,789989,1015908
72,1666965,720291,946674
73,1563222,662555,900667
74,1478260,613656,864604
75,1423969,587119,836850
76,1344873,545936,798937
77,1275052,505865,769187
78,1204358,463767,740591
79,1131272,426209,705063
80,985918,363451,622467
81,898254,317458,580796
82,820093,286849,533244
83,745759,251516,494243
84,670263,218660,451603
85,3274352,904426,2369926
0,3914106,2004835,1909271
1,3959764,2022856,1936908
2,4005671,2050546,1955125
3,3945023,2018947,1926076
4,3864424,1978080,1886344
5,3790345,1939793,1850552
6,3721222,1904167,1817055
7,3749516,1919775,1829741
8,3585318,1834376,1750942
9,3728262,1911037,1817225
10,3831160,1964091,1867069
11,3756297,1923769,1832528
12,3748653,1919130,1829523
13,3693985,1891309,1802676
14,3560908,1827254,1733654
15,3548788,1823477,1725311
16,3460191,1782636,1677555
17,3437837,1775391,1662446
18,3430178,1759584,1670594
19,3530827,1802739,1728088
20,3620369,1848305,1772064
21,3796421,1936250,1860171
22,3968783,2019315,1949468
23,3839890,1950552,1889338
24,3823004,1937509,1885495
25,3774159,1909050,1865109
26,3842104,1930150,1911954
27,3999387,2012357,1987030
28,4065862,2039342,2026520
29,4475668,2249336,2226332
30,4513721,2265298,2248423
31,4474158,2240938,2233220
32,4527816,2263583,2264233
33,4469911,2229550,2240361
34,4573608,2288587,2285021
35,4591138,2294680,2296458
36,4386389,2182202,2204187
37,4313789,2140809,2172980
38,4051058,2008531,2042527
39,4249827,2109745,2140082
40,4104852,2033092,2071760
41,3901104,1925563,1975541
42,3720206,1835428,1884778
43,3646835,1792140,1854695
44,3699847,1830153,1869694
45,3746237,1848040,1898197
46,3623128,1785151,1837977
47,2776706,1356904,1419802
48,2743010,1340594,1402416
49,3002892,1472910,1529982
50,3007775,1473932,1533843
51,2577910,1256099,1321811
52,2418815,1176744,1242071
53,2332983,1131824,1201159
54,2372747,1150554,1222193
55,2256890,1089398,1167492
56,2152258,1034489,1117769
57,2163985,1036659,1127326
58,2084582,999056,1085526
59,2010873,961985,1048888
60,2023358,953743,1069615
61,2023575,954659,1068916
62,2080998,975849,1105149
63,2093523,990100,1103423
64,2116123,980138,1135985
65,2129269,979134,1150135
66,2030380,918683,1111697
67,2002274,901288,1100986
68,1957202,873741,1083461
69,1921069,848511,1072558
70,1859939,813890,1046049
71,1861256,814063,1047193
72,1763625,769040,994585
73,1596766,680453,916313
74,1529550,641073,888477
75,1436064,589769,846295
76,1361546,556522,805024
77,1287469,514487,772982
78,1235979,480977,755002
79,1139346,431791,707555
80,1046869,384954,661915
81,914917,330916,584001
82,838635,291030,547605
83,763386,258866,504520
