age,uk-m,uk-f,us-m,us-f,china-m,china-f
84,0.44144,0.569348,0.3865,0.52413,0.565479923,0.717869396
85,0.402731,0.531378,0.3529,0.48948,0.523787654,0.684908423
86,0.363187,0.491548,0.31894,0.45338,0.480720262,0.649556189
87,0.323414,0.449545,0.28461,0.41569,0.436859826,0.612111873
88,0.283832,0.406186,0.25042,0.37684,0.392780669,0.572885296
89,0.244929,0.36152,0.21694,0.33732,0.349055932,0.532243667
90,0.207931,0.316824,0.18475,0.29772,0.306258883,0.490600391
91,0.172844,0.272662,0.15442,0.2587,0.264953747,0.448407285
92,0.140695,0.230514,0.12646,0.22096,0.225684422,0.406145347
93,0.112325,0.190953,0.10128,0.18519,0.188956088,0.364311564
94,0.087535,0.154982,0.07921,0.15203,0.155214955,0.323406297
95,0.066261,0.122503,0.06037,0.12204,0.124824954,0.283915478
96,0.048532,0.093875,0.04477,0.0956,0.098050126,0.24628532
97,0.034576,0.070113,0.03225,0.07296,0.075042664,0.210880082
98,0.024021,0.051307,0.02254,0.05415,0.055818234,0.177987217
99,0.016489,0.036737,0.01525,0.03901,0.040243551,0.147832445
100,0.010741,0.025172,0.00999,0.02724,0.028044926,0.120586778
