0,1811000,919000,892000,1900
1,1835000,928000,907000,
2,1846000,932000,914000,
3,1848000,932000,916000,
4,1841000,928000,913000,
5,1827000,921000,906000,
6,1806000,911000,895000,
7,1780000,899000,881000,
8,1750000,884000,866000,
9,1717000,868000,849000,
10,1682000,851000,831000,
11,1644000,833000,811000,
12,1611000,816000,795000,
13,1585000,800000,785000,
14,1564000,786000,778000,
15,1544000,772000,772000,
16,1519000,756000,763000,
17,1505000,746000,759000,
18,1500000,742000,758000,
19,1500000,741000,759000,
20,1500000,740000,760000,
21,1500000,739000,761000,
22,1491000,736000,755000,
23,1465000,726000,739000,
24,1427000,712000,715000,
25,1392000,700000,692000,
26,1356000,687000,669000,
27,1316000,672000,644000,
28,1275000,654000,621000,
29,1233000,636000,597000,
30,1191000,617000,574000,
31,1145000,597000,548000,
32,1108000,580000,528000,
33,1082000,568000,514000,
34,1063000,559000,504000,
35,1044000,550000,494000,
36,1025000,540000,485000,
37,1004000,529000,475000,
38,977000,516000,461000,
39,946000,501000,445000,
40,917000,486000,431000,
41,888000,472000,416000,
42,859000,457000,402000,
43,824000,439000,385000,
44,789000,420000,369000,
45,753000,401000,352000,
46,718000,382000,336000,
47,688000,366000,322000,
48,666000,355000,311000,
49,650000,347000,303000,
50,635000,339000,296000,
51,622000,332000,290000,
52,600000,320000,280000,
53,571000,304000,267000,
54,534000,282000,252000,
55,500000,262000,238000,
56,465000,242000,223000,
57,437000,226000,211000,
58,417000,215000,202000,
59,405000,208000,197000,
60,391000,201000,190000,
61,380000,195000,185000,
62,364000,186000,178000,
63,345000,176000,169000,
64,322000,165000,157000,
65,302000,155000,147000,
66,281000,144000,137000,
67,262000,134000,128000,
68,243000,125000,118000,
69,224000,115000,109000,
70,207000,106000,101000,
71,191000,98000,93000,
72,176000,90000,86000,
73,163000,82000,81000,
74,151000,75000,76000,
75,899000,441000,458000,
0,1811000,919000,892000,1901
1,1835000,928000,907000,
2,1846000,932000,914000,
3,1848000,932000,916000,
4,1841000,928000,913000,
5,1827000,921000,906000,
6,1806000,911000,895000,
7,1780000,899000,881000,
8,1750000,884000,866000,
9,1717000,868000,849000,
10,1682000,851000,831000,
11,1644000,833000,811000,
12,1611000,816000,795000,
13,1585000,800000,785000,
14,1564000,786000,778000,
15,1544000,772000,772000,
16,1519000,756000,763000,
17,1505000,746000,759000,
18,1500000,742000,758000,
19,1500000,741000,759000,
20,1500000,740000,760000,
21,1500000,739000,761000,
22,1491000,736000,755000,
23,1465000,726000,739000,
24,1427000,712000,715000,
25,1392000,700000,692000,
26,1356000,687000,669000,
27,1316000,672000,644000,
28,1275000,654000,621000,
29,1233000,636000,597000,
30,1191000,617000,574000,
31,1145000,597000,548000,
32,1108000,580000,528000,
33,1082000,568000,514000,
34,1063000,559000,504000,
35,1044000,550000,494000,
36,1025000,540000,485000,
37,1004000,529000,475000,
38,977000,516000,461000,
39,946000,501000,445000,
40,917000,486000,431000,
41,888000,472000,416000,
42,859000,457000,402000,
43,824000,439000,385000,
44,789000,420000,369000,
45,753000,401000,352000,
46,718000,382000,336000,
47,688000,366000,322000,
48,666000,355000,311000,
49,650000,347000,303000,
50,635000,339000,296000,
51,622000,332000,290000,
52,600000,320000,280000,
53,571000,304000,267000,
54,534000,282000,252000,
55,500000,262000,238000,
56,465000,242000,223000,
57,437000,226000,211000,
58,417000,215000,202000,
59,405000,208000,197000,
60,391000,201000,190000,
61,380000,195000,185000,
62,364000,186000,178000,
63,345000,176000,169000,
64,322000,165000,157000,
65,302000,155000,147000,
66,281000,144000,137000,
67,262000,134000,128000,
68,243000,125000,118000,
69,224000,115000,109000,
70,207000,106000,101000,
71,191000,98000,93000,
72,176000,90000,86000,
73,163000,82000,81000,
74,151000,75000,76000,
75,899000,441000,458000,
0,1892000,959000,933000,
1,1906000,964000,942000,
2,1910000,964000,946000,
3,1904000,960000,944000,
4,1890000,953000,937000,
5,1873000,944000,929000,
6,1848000,932000,916000,
7,1818000,917000,901000,
8,1788000,903000,885000,
9,1752000,885000,867000,
10,1717000,868000,849000,
11,1681000,851000,830000,
12,1648000,834000,814000,
13,1625000,820000,805000,
14,1610000,809000,801000,
15,1591000,796000,795000,
16,1572000,783000,789000,
17,1560000,774000,786000,
18,1558000,772000,786000,
19,1561000,773000,788000,
20,1563000,774000,789000,
21,1566000,774000,792000,
22,1557000,771000,786000,
23,1532000,762000,770000,
24,1495000,749000,746000,
25,1457000,735000,722000,
26,1422000,723000,699000,
27,1381000,707000,674000,
28,1338000,689000,649000,
29,1292000,667000,625000,
30,1246000,647000,599000,
31,1197000,624000,573000,
32,1157000,605000,552000,
33,1132000,594000,538000,
34,1115000,586000,529000,
35,1096000,576000,520000,
36,1081000,569000,512000,
37,1059000,558000,501000,
38,1030000,543000,487000,
39,995000,527000,468000,
40,963000,511000,452000,
41,932000,495000,437000,
42,899000,479000,420000,
43,863000,460000,403000,
44,827000,441000,386000,
45,790000,421000,369000,
46,754000,402000,352000,
47,723000,385000,338000,
48,701000,374000,327000,
49,686000,367000,319000,
50,671000,359000,312000,
51,657000,353000,304000,
52,637000,342000,295000,
53,604000,323000,281000,
54,565000,300000,265000,
55,527000,278000,249000,
56,490000,256000,234000,
57,459000,238000,221000,
58,438000,227000,211000,
59,424000,219000,205000,
60,409000,211000,198000,
61,396000,204000,192000,
62,380000,195000,185000,
63,360000,185000,175000,
64,337000,173000,164000,
65,316000,162000,154000,
66,296000,152000,144000,
67,275000,141000,134000,
68,256000,131000,125000,
69,238000,122000,116000,
70,218000,112000,106000,
71,201000,103000,98000,
72,185000,94000,91000,
73,170000,86000,84000,
74,156000,78000,78000,
75,945000,463000,482000,
0,1930000,978000,952000,
1,1938000,980000,958000,
2,1938000,978000,960000,
3,1927000,972000,955000,
4,1912000,964000,948000,
5,1889000,952000,937000,
6,1864000,940000,924000,
7,1834000,925000,909000,
8,1801000,909000,892000,
9,1767000,893000,874000,
10,1733000,876000,857000,
11,1695000,858000,837000,
12,1666000,843000,823000,
13,1644000,829000,815000,
14,1631000,819000,812000,
15,1615000,808000,807000,
16,1598000,796000,802000,
17,1589000,789000,800000,
18,1588000,787000,801000,
19,1592000,789000,803000,
20,1595000,791000,804000,
21,1598000,792000,806000,
22,1591000,790000,801000,
23,1565000,781000,784000,
24,1527000,767000,760000,
25,1492000,755000,737000,
26,1454000,741000,713000,
27,1413000,725000,688000,
28,1368000,705000,663000,
29,1321000,684000,637000,
30,1273000,661000,612000,
31,1221000,637000,584000,
32,1181000,618000,563000,
33,1155000,606000,549000,
34,1141000,599000,542000,
35,1124000,591000,533000,
36,1107000,582000,525000,
37,1086000,572000,514000,
38,1057000,558000,499000,
39,1020000,540000,480000,
40,985000,523000,462000,
41,951000,506000,445000,
42,918000,489000,429000,
43,881000,470000,411000,
44,845000,450000,395000,
45,809000,431000,378000,
46,771000,411000,360000,
47,740000,394000,346000,
48,720000,384000,336000,
49,704000,376000,328000,
50,689000,369000,320000,
51,676000,363000,313000,
52,654000,352000,302000,
53,621000,333000,288000,
54,580000,309000,271000,
55,540000,286000,254000,
56,501000,263000,238000,
57,468000,244000,224000,
58,447000,232000,215000,
59,434000,225000,209000,
60,418000,216000,202000,
61,404000,208000,196000,
62,389000,200000,189000,
63,368000,189000,179000,
64,344000,177000,167000,
65,324000,166000,158000,
66,303000,155000,148000,
67,282000,145000,137000,
68,262000,134000,128000,
69,243000,125000,118000,
70,225000,115000,110000,
71,206000,105000,101000,
72,189000,96000,93000,
73,173000,87000,86000,
74,158000,79000,79000,
75,970000,475000,495000,
0,1930000,978000,952000,
1,1938000,980000,958000,
2,1938000,978000,960000,
3,1927000,972000,955000,
4,1912000,964000,948000,
5,1889000,952000,937000,
6,1864000,940000,924000,
7,1834000,925000,909000,
8,1801000,909000,892000,
9,1767000,893000,874000,
10,1733000,876000,857000,
11,1695000,858000,837000,
12,1666000,843000,823000,
13,1644000,829000,815000,
14,1631000,819000,812000,
15,1615000,808000,807000,
16,1598000,796000,802000,
17,1589000,789000,800000,
18,1588000,787000,801000,
19,1592000,789000,803000,
20,1595000,791000,804000,
21,1598000,792000,806000,
22,1591000,790000,801000,
23,1565000,781000,784000,
24,1527000,767000,760000,
25,1492000,755000,737000,
26,1454000,741000,713000,
27,1413000,725000,688000,
28,1368000,705000,663000,
29,1321000,684000,637000,
30,1273000,661000,612000,
31,1221000,637000,584000,
32,1181000,618000,563000,
33,1155000,606000,549000,
34,1141000,599000,542000,
35,1124000,591000,533000,
36,1107000,582000,525000,
37,1086000,572000,514000,
38,1057000,558000,499000,
39,1020000,540000,480000,
40,985000,523000,462000,
41,951000,506000,445000,
42,918000,489000,429000,
43,881000,470000,411000,
44,845000,450000,395000,
45,809000,431000,378000,
46,771000,411000,360000,
47,740000,394000,346000,
48,720000,384000,336000,
49,704000,376000,328000,
50,689000,369000,320000,
51,676000,363000,313000,
52,654000,352000,302000,
53,621000,333000,288000,
54,580000,309000,271000,
55,540000,286000,254000,
56,501000,263000,238000,
57,468000,244000,224000,
58,447000,232000,215000,
59,434000,225000,209000,
60,418000,216000,202000,
61,404000,208000,196000,
62,389000,200000,189000,
63,368000,189000,179000,
64,344000,177000,167000,
65,324000,166000,158000,
66,303000,155000,148000,
67,282000,145000,137000,
68,262000,134000,128000,
69,243000,125000,118000,
70,225000,115000,110000,
71,206000,105000,101000,
72,189000,96000,93000,
73,173000,87000,86000,
74,158000,79000,79000,
75,970000,475000,495000,
0,2010000,1019000,991000,
1,2006000,1014000,992000,
2,1995000,1007000,988000,
3,1977000,997000,980000,
